# === FILE: accountChangePassword-translated.csv ===

key,en,fr,selector,type,attr
commNotif.discussion.empty,You have no override email addresses for discussion emails.,Vous n’avez aucune adresse de remplacement pour les courriels de discussion.,#MainCopy_ctl29_MyCommunityNotifications_lblDiscusionEmailEmpty,text,

topicNotif.heading,Topic Notifications,Notifications sur les sujets,#MainCopy_ctl29_MyCommunityNotifications_pnlTopicNotifications > h2.text-muted,text,

topicNotif.th.community,Community,Communauté,#MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_thTopicNotificationsCommunity,text,
topicNotif.th.delivery,Email Delivery,Envoi par courriel,#MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_thTopicNotificationsEmail,text,

# If you DO want to translate the community link text (often you'd leave official community names as-is)
topicNotif.community.sample,Tech tidbits and help,Astuces techniques et aide,[id^="MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_hypTopicNotificationCommunity_"],text,

notif.th.community,Community,Communauté,#MainCopy_ctl29_MyCommunityNotifications_lvNotifSettings_thNotifSettingsCommunity,text,
notif.th.discussion,Discussion Email,Courriel de discussion,#MainCopy_ctl29_MyCommunityNotifications_lvNotifSettings_thNotifSettingsDiscussionEmail,text,
notif.th.weekly,Consolidated<br>Weekly Digest,Bulletin hebdomadaire<br>consolidé,#MainCopy_ctl29_MyCommunityNotifications_lvNotifSettings_thNotifSettingsWeeklyCd,html,

# contacts.sort.az,Community Name A-Z,Nom de la communauté A-Z,#MainCopy_ctl29_FindContacts_SortOptions option[value="name-asc"],attr,data-i18n-text
# contacts.sort.za,Community Name Z-A,Nom de la communauté Z-A,#MainCopy_ctl29_FindContacts_SortOptions option[value="name-desc"],attr,data-i18n-text

notif.sort.az,Community Name A-Z,Nom de la communauté A-Z,#MainCopy_ctl29_MyCommunityNotifications_ddlNotifSettingsSort option[value="az"],attr,data-i18n-text
notif.sort.za,Community Name Z-A,Nom de la communauté Z-A,#MainCopy_ctl29_MyCommunityNotifications_ddlNotifSettingsSort option[value="za"],attr,data-i18n-text

topicNotif.community.sample,Tech tidbits and help,Astuces techniques et aide,[id^="MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_hypTopicNotificationCommunity_"],text,

switch.pref.on,Yes,Oui,.bootstrap-switch-container:has(#MainCopy_ctl29_MyCommunityNotifications_cbNotifSettingsPreference) .bootstrap-switch-handle-on,text,
switch.pref.off,No,Non,.bootstrap-switch-container:has(#MainCopy_ctl29_MyCommunityNotifications_cbNotifSettingsPreference) .bootstrap-switch-handle-off,text,

notif.weekly.btn.title,Weekly Consolidated Digest,Bulletin hebdomadaire consolidé,a.weeklycd[data-cdvalue="weekly"],attr,title
notif.autoSetNoEmail,Automatically set community discussion emails to "No Email" when a community is added to a consolidated digest.,Définir automatiquement les courriels de discussion de la communauté sur « Aucun courriel » lorsqu’une communauté est ajoutée à un bulletin consolidé.,label[for="MainCopy_ctl29_MyCommunityNotifications_cbNotifSettingsPreference"],text,

# topicEmail.opt.none,No Email,Aucun courriel,[id^="MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_slctTopicEmail_"] option[value="ne"],attr,data-i18n-text
# topicEmail.opt.digest,Personalized Digest,Résumé personnalisé,[id^="MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_slctTopicEmail_"] option[value="td"],attr,data-i18n-text
# topicEmail.opt.digest_rt,Personalized Digest & Real-Time Discussion Emails,Résumé personnalisé et courriels de discussion en temps réel,[id^="MainCopy_ctl29_MyCommunityNotifications_lvTopicNotificationSettings_slctTopicEmail_"] option[value="th"],attr,data-i18n-text

# dropdown - seems values break
# discEmail.opt.rt,Real Time,Temps réel,#MainCopy_ctl29_MyCommunityNotifications_lvNotifSettings_pnlWithEgroup_0 .dropdown-menu.inner [data-original-index="0"] .text,text,
# discEmail.opt.dd,Daily Digest,Résumé quotidien,#MainCopy_ctl29_MyCommunityNotifications_lvNotifSettings_pnlWithEgroup_0 .dropdown-menu.inner [data-original-index="1"] .text,text,
# discEmail.opt.ne,No Email,Aucun courriel,#MainCopy_ctl29_MyCommunityNotifications_lvNotifSettings_pnlWithEgroup_0 .dropdown-menu.inner [data-original-index="2"] .text,text,

# dropdown
# topicNotif.opt.none,No Email,Aucun courriel,#MainCopy_ctl29_MyCommunityNotifications_ddlTopicNotificationSettings option[value="0"],attr,data-i18n-text
# topicNotif.opt.digest,Personalized Digest,Résumé personnalisé,#MainCopy_ctl29_MyCommunityNotifications_ddlTopicNotificationSettings option[value="1"],attr,data-i18n-text
# topicNotif.opt.digest_rt,Personalized Digest & Real-Time Discussion Emails,Résumé personnalisé et courriels de discussion en temps réel,#MainCopy_ctl29_MyCommunityNotifications_ddlTopicNotificationSettings option[value="2"],attr,data-i18n-text

notif.settings.heading,Notification Settings,Paramètres de notification,#NotificationSettings,text,

# === FILE: accountSignature-translated.csv ===

profile.bio.heading,Biography,Biographie,#MainCopy_ctl29_TitleText,text,
profile.signature.label,Default Signature,Signature par défaut,label[for="MainCopy_ctl29_Signature1_txtSignature"],text,
profile.signature.variables,Available Variables:,Variables disponibles :,.well > .row > .col-md-6 + .col-md-6 .row:first-child .col-md-12,text,
profile.signature.save,Save,Enregistrer,#MainCopy_ctl29_Signature1_SaveButton,attr,value
profile.signature.useDefault,Use Default Template,Utiliser le modèle par défaut,#MainCopy_ctl29_Signature1_btnDefaultSignature,attr,value

# === FILE: addLibrary-translated.csv ===

page_title,Add to a Library,Ajouter à une bibliothèque,#PageTitleH1,text,
title_label,Title,Titre,label[for="MainCopy_ctl02_DocumentName"],text,
title_help,Name is a required field. Please enter a name.,Le nom est obligatoire. Veuillez saisir un nom.,#documentNameHelp,text,
library_label,Library,Bibliothèque,label[for="MainCopy_ctl02_LibraryList"],text,
library_help,Library is a required field. Please select a library.,La bibliothèque est obligatoire. Veuillez en sélectionner une.,#libraryListHelp,text,
description_label,Description,Description,label[for="MainCopy_ctl02_DocumentDescription"],text,
entrytype_label,Entry Type,Type d’entrée,label[for="MainCopy_ctl02_DocumentTypeList"],text,
documenttype_help,Document type is a required field. Please select a type.,Le type de document est obligatoire. Veuillez sélectionner un type.,#documentTypeListHelp,text,
owner_label,Owner,Propriétaire,label[for="MainCopy_ctl02_OwnerId"],text,
owner_lookup,Lookup,Rechercher,#MainCopy_ctl02_OwnerLookupButton,attr,value
custom_thumbnail_label,Custom Thumbnail,Vignette personnalisée,label[for="MainCopy_ctl02_btnFeaturedImage"],text,
select_image_link,Select Image,Sélectionner une image,#MainCopy_ctl02_btnFeaturedImage,text,
clear_featured_image_aria,Clear Featured Image,Effacer la vignette personnalisée,#MainCopy_ctl02_btnClearFeaturedImage,attr,aria-label
thumbnail_note,"A thumbnail will be auto-generated for your entry based on the entry type. This custom option is to select your own image to show alongside your entry. Landscape images measuring at least 1200px x 600px are ideal.","Une vignette sera générée automatiquement pour votre entrée selon le type sélectionné. Cette option personnalisée permet de choisir votre propre image à afficher avec votre entrée. Les images au format paysage d’au moins 1200 px × 600 px sont idéales.",#MainCopy_ctl02_pnlFeaturedImage .font-size-xs,text,
next_button,Next,Suivant,#MainCopy_ctl02_addEntryWizard_NextButton,attr,value
cancel_button,Cancel,Annuler,#MainCopy_ctl02_addEntryWizard_CancelButton,attr,value
next_up_hint,(Next up: Webinar Details),(À venir : détails du webinaire),#NextUp,text,
doctype_option_placeholder,[Select Type],[Sélectionner le type],#MainCopy_ctl02_DocumentTypeList option[value="0"],text,
doctype_option_copyright,Copyright Licensed File(s),Fichier(s) sous licence,#MainCopy_ctl02_DocumentTypeList option[value="8ed90289-4b6c-4cc7-9987-5a7a7079649d"],text,
doctype_option_hyperlink,Hyperlink,Lien hypertexte,#MainCopy_ctl02_DocumentTypeList option[value="498f2423-be16-4c97-8f40-53278e7375ee"],text,
doctype_option_upload,Standard File Upload,Téléversement de fichier standard,#MainCopy_ctl02_DocumentTypeList option[value="2fb2211c-f5c4-4af2-b889-50c0b7669e06"],text,
doctype_option_webinar,Webinar,Webinaire,#MainCopy_ctl02_DocumentTypeList option[value="c49385fd-27a8-4db2-84f8-c86d5bd30226"],text,
doctype_option_youtube,YouTube Video,Vidéo YouTube,#MainCopy_ctl02_DocumentTypeList option[value="01c2a344-e4d2-4567-ae9b-9a86ddcae74a"],text,
library_option_placeholder,[Select library],[Sélectionner une bibliothèque],#MainCopy_ctl02_LibraryList option[value="0"],text,
library_option_prosper,Prosper Internal,Prosper – Interne,#MainCopy_ctl02_LibraryList option[value="13418e01-3834-4e90-9fe5-0198d33a7d8c"],text,
library_option_resilient,Resilient Futures Network,Réseau des futurs résilients,#MainCopy_ctl02_LibraryList option[value="d82937d1-7fde-473d-9d3f-0199356a391c"],text,
library_option_sandbox,Sandbox Community,Communauté Sandbox,#MainCopy_ctl02_LibraryList option[value="84d87020-8e94-4a28-8e47-0198ae5c7e45"],text,
library_option_techtidbits,Tech tidbits and help,Conseils techniques et aide,#MainCopy_ctl02_LibraryList option[value="aaa63bc5-7d90-4f9a-a26d-0192c57bb406"],text

# === FILE: communities-translated.csv ===

communities.count.one,{count} total,{count} au total,,,
communities.noResults,No Results Found,Aucun résultat trouvé,#MainCopy_ctl29_AllCommunitiesContainer,text,
communities.exploreAll.btn,Explore All Communities,Explorer toutes les communautés,#MainCopy_ctl29_AllCommunities,text,
communities.exploreAll.title,Explore All Communities,Explorer toutes les communautés,#MainCopy_ctl29_AllCommunities,attr,title
communities.noResults,No Results Found,Aucun résultat trouvé,#MainCopy_ctl29_UpdatePanel1,text,

community.stats.discussions,Discussions,Discussions,a[qa-attribute="community-discussions-count-btn"],text,
community.stats.libraries,Libraries,Bibliothèques,a[qa-attribute="community-documents-count-btn"],text,
community.stats.members,Members,Membres,a[qa-attribute="community-members-count-btn"],text,

# === FILE: communitiesNode-translated.csv ===

communities.title,Communities,Communautés,#MainCopy_ctl29_TitleText,text,

# comm.btn.disc.title,"Discussions&nbsp;","Discussions&nbsp;",a[qa-attribute="community-discussions-count-btn"],attr,data-i18n-text
# comm.btn.docs.title,"Libraries&nbsp;","Bibliothèques&nbsp;",a[qa-attribute="community-documents-count-btn"],attr,data-i18n-text
# comm.btn.mem.title,"Members&nbsp;","Membres&nbsp;",a[qa-attribute="community-members-count-btn"],attr,data-i18n-text

comm.btn.disc.title,"Discussions&nbsp;","Discussions&nbsp;",a[qa-attribute="community-discussions-count-btn"],attr,data-i18n-text
comm.btn.docs.title,"Libraries&nbsp;","Bibliothèques&nbsp;",a[qa-attribute="community-documents-count-btn"],attr,data-i18n-text
comm.btn.mem.title,"Members&nbsp;","Membres&nbsp;",a[qa-attribute="community-members-count-btn"],attr,data-i18n-text

# comm.btn.disc.title,last discussions posted {n} days ago,dernières discussions publiées il y a {n} jours,a[qa-attribute="community-discussions-count-btn"],attr,title
# comm.btn.docs.title,last library updated {n} days ago,dernière bibliothèque mise à jour il y a {n} jours,a[qa-attribute="community-documents-count-btn"],attr,title
# comm.btn.mem.title,last person joined {n} days ago,dernière personne inscrite il y a {n} jours,a[qa-attribute="community-members-count-btn"],attr,title

# comm.btn.disc.label,"Discussions ","Discussions ",,,
# comm.btn.docs.label,"Libraries ","Bibliothèques ",,,
# comm.btn.mem.label,"Members ","Membres ",,,
# comm.btn.disc.attachKey,comm.btn.disc.label,comm.btn.disc.label,a[qa-attribute="community-discussions-count-btn"],attr,data-i18n-text
# comm.btn.docs.attachKey,comm.btn.docs.label,comm.btn.docs.label,a[qa-attribute="community-documents-count-btn"],attr,data-i18n-text
# comm.btn.mem.attachKey,comm.btn.mem.label,comm.btn.mem.label,a[qa-attribute="community-members-count-btn"],attr,data-i18n-text

# === FILE: community-translated.csv ===

comm.tabs.home,"Community Home ","Accueil de la communauté ",#CommunityTabsContainer li:first-child > a,attr,data-i18n-text
comm.tabs.discussions,"Discussion ","Discussions ",a[data-tab="discussions"],attr,data-i18n-text
comm.tabs.library,"Library ","Bibliothèque ",a[data-tab="resources"],attr,data-i18n-text
comm.tabs.events,"Events ","Événements ",a[data-tab="events"],attr,data-i18n-text
comm.tabs.members,"Members ","Membres ",a[data-tab="members"],attr,data-i18n-text

comm.latestDiscussions,Latest Discussions ,Dernières discussions ,#MainCopy_ctl09_TitleText,attr,data-i18n-text
comm.postMessage,Post a Message,Publier un message,#MainCopy_ctl09_PostMessage,attr,value
comm.postMessage.title,Post a Message,Publier un message,#MainCopy_ctl09_PostMessage,attr,title
comm.announcements,Announcements ,Annonces ,#MainCopy_ctl12_TitleText,attr,data-i18n-text
comm.add,Add,Ajouter,#MainCopy_ctl12_Add,attr,data-i18n-text
comm.add.title,Add Announcement,Ajouter une annonce,#MainCopy_ctl12_Add,attr,title

comm.moreDiscussions,View more discussions,Voir plus de discussions,#MainCopy_ctl09_MoreLink,attr,data-i18n-text
comm.moreDiscussions.title,View more discussions,Voir plus de discussions,#MainCopy_ctl09_MoreLink,attr,title

comm.moreLibrary,View more library entries,Voir plus d’éléments de la bibliothèque,#MainCopy_ctl14_MoreLink,attr,data-i18n-text
comm.moreLibrary.title,View more library entries,Voir plus d’éléments de la bibliothèque,#MainCopy_ctl14_MoreLink,attr,title

comm.moreAnnouncements,View more announcements,Voir plus d’annonces,#MainCopy_ctl12_MoreLink,attr,data-i18n-text
comm.moreAnnouncements.title,View more announcements,Voir plus d’annonces,#MainCopy_ctl12_MoreLink,attr,title

comm.reindex.title,reindex,réindexer,#ctl00_MainCopy_ctl12_AnnouncementList_ctl01_Reindex,attr,title
comm.edit.title,edit,modifier,#ctl00_MainCopy_ctl12_AnnouncementList_ctl01_Edit,attr,title

comm.deleteConfirm,Are you sure you want to remove this item?,Voulez-vous vraiment supprimer cet élément ?,#dialog-confirm-deleteannouncement [id$='deleteannouncement-message'],attr,data-i18n-text

comm.ann.add.heading,Add New Announcement,Ajouter une nouvelle annonce,#MainCopy_ctl12_AddHeadingTitle,attr,data-i18n-text
comm.ann.add.label.text,Text,Texte,#MainCopy_ctl12_AnnouncementTextLabel,attr,data-i18n-text
comm.ann.add.label.title,Title,Titre,#MainCopy_ctl12_AnnouncementTitleLabel,attr,data-i18n-text
comm.ann.add.label.url,URL,URL,#MainCopy_ctl12_URLText,attr,data-i18n-text
comm.ann.add.label.urlText,URL Text,Texte du lien,#MainCopy_ctl12_URLName,attr,data-i18n-text
comm.ann.add.label.newWindow,Open in a New Window,Ouvrir dans une nouvelle fenêtre,label[for="MainCopy_ctl12_CheckURL"],attr,data-i18n-text
comm.ann.add.save,Save,Enregistrer,#MainCopy_ctl12_Save,attr,value
comm.ann.add.cancel,Cancel,Annuler,#MainCopy_ctl12_Cancel,attr,value

comm.status.header,Status,Statut,"#MainCopy_ctl02_CommunityManagementGear1_StatusUL .dropdown-header",text,

comm.member.current,You are currently a member.,Vous êtes actuellement membre.,"#MainCopy_ctl02_CommunityManagementGear1_YouAreCurrenltyAMemberText",text,

comm.invite.button,Add or Invite Others,Ajouter ou inviter d’autres personnes,"#MainCopy_ctl02_CommunityManagementGear1_btnInviteOthersToJoin",text,
comm.invite.button.value,Invite Others to Join,Inviter d’autres personnes à se joindre,"#MainCopy_ctl02_CommunityManagementGear1_btnInviteOthersToJoin",attr,value

comm.email.header,Email Notifications,Notifications par courriel,"#MainCopy_ctl02_CommunityManagementGear1_EmailNotificationsHeader",text,
comm.email.change,Change,Modifier,"#MainCopy_ctl02_CommunityManagementGear1_ChangeLink",text,

comm.email.saving,Saving...,Enregistrement...,"#MainCopy_ctl02_CommunityManagementGear1_EmailNotificationOptBtnLoading",text,
comm.email.selected,No Email,Aucun courriel,"#MainCopy_ctl02_CommunityManagementGear1_SelectedNotificationOption",text,

comm.email.option.realtime,Real Time,Temps réel,"#EmailNotificationOptDD .EmailNotificationOption a[data-subscription=""Rt""]",text,
comm.email.option.daily,Daily Digest,Résumé quotidien,"#EmailNotificationOptDD .EmailNotificationOption a[data-subscription=""Dd""]",text,
comm.email.option.none,No Email,Aucun courriel,"#EmailNotificationOptDD .EmailNotificationOption a[data-subscription=""Ne""]",text,

# === FILE: communityDigest-translated.csv ===

# --- Sort by ---
communityDigest.sort.mru,Most Recently Updated,Plus récemment mis à jour,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionsSortBy option[value="1"],attr,data-i18n-text
communityDigest.sort.lru,Least Recently Updated,Le moins récemment mis à jour,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionsSortBy option[value="2"],attr,data-i18n-text
communityDigest.sort.mostReplies,Most Replies,Le plus de réponses,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionsSortBy option[value="3"],attr,data-i18n-text
communityDigest.sort.leastReplies,Least Replies,Le moins de réponses,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionsSortBy option[value="4"],attr,data-i18n-text
communityDigest.sort.subjectAZ,Thread Subject A-Z,Sujet de fil A–Z,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionsSortBy option[value="5"],attr,data-i18n-text
communityDigest.sort.subjectZA,Thread Subject Z-A,Sujet de fil Z–A,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionsSortBy option[value="6"],attr,data-i18n-text

# Visible Bootstrap-Select button (current choice) — text + title
communityDigest.sort.current,Most Recently Updated,Plus récemment mis à jour,button[data-id$="contributionsSortBy"] .filter-option,attr,data-i18n-text
communityDigest.sort.current.title,Most Recently Updated,Plus récemment mis à jour,button[data-id$="contributionsSortBy"],attr,title

# Dropdown menu (the cloned list inside the bootstrap-select)
communityDigest.sort.menu.mru,Most Recently Updated,Plus récemment mis à jour,button[data-id$="contributionsSortBy"] + .dropdown-menu .inner li[data-original-index="0"] .text,attr,data-i18n-text
communityDigest.sort.menu.lru,Least Recently Updated,Le moins récemment mis à jour,button[data-id$="contributionsSortBy"] + .dropdown-menu .inner li[data-original-index="1"] .text,attr,data-i18n-text
communityDigest.sort.menu.mostReplies,Most Replies,Le plus de réponses,button[data-id$="contributionsSortBy"] + .dropdown-menu .inner li[data-original-index="2"] .text,attr,data-i18n-text
communityDigest.sort.menu.leastReplies,Least Replies,Le moins de réponses,button[data-id$="contributionsSortBy"] + .dropdown-menu .inner li[data-original-index="3"] .text,attr,data-i18n-text
communityDigest.sort.menu.subjectAZ,Thread Subject A-Z,Sujet de fil A–Z,button[data-id$="contributionsSortBy"] + .dropdown-menu .inner li[data-original-index="4"] .text,attr,data-i18n-text
communityDigest.sort.menu.subjectZA,Thread Subject Z-A,Sujet de fil Z–A,button[data-id$="contributionsSortBy"] + .dropdown-menu .inner li[data-original-index="5"] .text,attr,data-i18n-text

# --- Results per page ---
# communityDigest.perPage.10,10 per page,10 par page,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionResultsPerPage option[value="10"],attr,data-i18n-text
# communityDigest.perPage.25,25 per page,25 par page,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionResultsPerPage option[value="25"],attr,data-i18n-text
# communityDigest.perPage.50,50 per page,50 par page,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionResultsPerPage option[value="50"],attr,data-i18n-text
# communityDigest.perPage.100,100 per page,100 par page,#ContributedContentList_f160399f-36bc-4c7b-8d1d-21332c0672db-contributionResultsPerPage option[value="100"],attr,data-i18n-text

# Visible Bootstrap-Select button (current page size) — text + title
# communityDigest.perPage.current,10 per page,10 par page,button[data-id$="contributionResultsPerPage"] .filter-option,attr,data-i18n-text
# communityDigest.perPage.current.title,10 per page,10 par page,button[data-id$="contributionResultsPerPage"],attr,title

# Dropdown menu (page size)
communityDigest.perPage.menu.10,10 per page,10 par page,button[data-id$="contributionResultsPerPage"] + .dropdown-menu .inner li[data-original-index="0"] .text,attr,data-i18n-text
communityDigest.perPage.menu.25,25 per page,25 par page,button[data-id$="contributionResultsPerPage"] + .dropdown-menu .inner li[data-original-index="1"] .

communityDigest.postNewMessage.text,Post New Message,Publier un nouveau message,"a.btn.btn-success[role=""button""][href*=""/communities/all-discussions/subscribe""]",text,

discussions.th.subject,Thread Subject,Sujet de la discussion,"[id^=""ContributedContentList_""][id$=""-itemsContainer""] table thead th:nth-child(1) span",text,
discussions.th.replies,Replies,Réponses,"[id^=""ContributedContentList_""][id$=""-itemsContainer""] table thead th.text-center span",text,
discussions.th.lastPost,Last Post,Dernier message,"[id^=""ContributedContentList_""][id$=""-itemsContainer""] table thead th[width=""25%""] span",text,

# === FILE: communityEvents-translated.csv ===

events.empty.heading,Add an Event,Ajouter un événement,#MainCopy_ctl09_NoDataAdmin strong,attr,data-i18n-text
events.empty.helper,Create an event to display here.,Créez un événement à afficher ici.,#MainCopy_ctl09_NoDataAdmin p:first-of-type,attr,data-i18n-text

events.add.btn,Add Event,Ajouter un événement,#add-calendar-event,attr,data-i18n-text
events.add.btn.title,Add Event,Ajouter un événement,#add-calendar-event,attr,title
events.add.split.title,Add Event,Ajouter un événement,#events-list-header-actions-b11ec0cf-c2d7-483f-a20d-88ea2b85b7d1 .dropdown-toggle,attr,title

# Event type options (menu)
events.type.chapter,Chapter Meeting ,Réunion de section ,a.create-event-by-type[eventtypekey="6a32f91a-0dcc-493d-b4a8-af6dec9222b1"],attr,data-i18n-text
events.type.committee,Committee Meeting ,Réunion du comité ,a.create-event-by-type[eventtypekey="f141d1da-5e07-43a7-b959-13ab88bba9ac"],attr,data-i18n-text
events.type.communityEvent,Community Event ,Événement communautaire ,a.create-event-by-type[eventtypekey="f307e2ac-871a-4b55-9fa0-0b3c22eaabf4"],attr,data-i18n-text
events.type.communityWorkshop,Community Workshop ,Atelier communautaire ,a.create-event-by-type[eventtypekey="2ff6f4b7-d09d-4554-949b-a543c5a05697"],attr,data-i18n-text
events.type.conference,Conference ,Conférence ,a.create-event-by-type[eventtypekey="9e2ded4f-5bc1-4948-9fce-5d6e00640a66"],attr,data-i18n-text
events.type.execRetreat,Executive Retreat ,Retraite de direction ,a.create-event-by-type[eventtypekey="53bd863a-563d-4886-86ba-4c4b2df3e991"],attr,data-i18n-text
events.type.memberTraining,Member Training ,Formation des membres ,a.create-event-by-type[eventtypekey="818a49ea-b823-4d8e-9703-2aa24102a54b"],attr,data-i18n-text
events.type.profDev,Professional Development ,Perfectionnement professionnel ,a.create-event-by-type[eventtypekey="87c93176-886b-4189-8569-5c125949d188"],attr,data-i18n-text
events.type.seminar,Seminar ,Séminaire ,a.create-event-by-type[eventtypekey="edfa85f5-7878-4cd2-b7eb-e8ddafa7d05d"],attr,data-i18n-text
events.type.simpleMeeting,Simple Meeting ,Réunion simple ,a.create-event-by-type[eventtypekey="fa52d27c-3333-4c4a-9ba7-914551703502"],attr,data-i18n-text
events.type.symposium,Symposium ,Symposium ,a.create-event-by-type[eventtypekey="9d179cd4-9a44-4185-80c5-679e380b16a6"],attr,data-i18n-text
events.type.testingExternal,Testing - External registration system (External),Test – Système d’inscription externe (Externe),a.create-event-by-type[eventtypekey="1a8a45c1-48a2-4ce3-9178-01937373012a"],attr,data-i18n-text
events.type.testingRSVP,Testing - FREE -RSVP only- just need a headcount (RSVP),Test – GRATUIT – RSVP seulement – estimation du nombre de participants (RSVP),a.create-event-by-type[eventtypekey="0c73a418-69fc-41dc-aee7-01937363f64f"],attr,data-i18n-text
events.type.webinar,Webinar ,Webinaire ,a.create-event-by-type[eventtypekey="bf8abdd1-fdd4-458a-9c8f-6923522fe1a3"],attr,data-i18n-text

# === FILE: communityInvite-translated.csv ===

invite.backToCommunity,"Back to Community","Retour à la communauté","#MainCopy_ctl02_backToDiscussions",text,
invite.message.label,"Invitation Message","Message d’invitation","#MainCopy_ctl04_InvitationMessage",text,
invite.message.default,"Please come and join the community I have just created on the https://community.prospercanada.org website","Veuillez rejoindre la communauté que je viens de créer sur le site https://community.prospercanada.org","#MainCopy_ctl04_txtMessage",text,
tabs.inviteYourContacts,"Invite Your Contacts","Inviter vos contacts","#YourContactsTab > a",text,
tabs.inviteOthers,"Invite Others","Inviter d’autres personnes","#MainCopy_ctl04_InviteTab > a",text,
tabs.pendingRequests,"Pending Invitation Requests","Demandes d’invitation en attente","#PendingRequestsTab > a",text,
invite.contactsToInvite.h3,"Contacts to Invite","Contacts à inviter","#MainCopy_ctl04_ucInviteMembers_ucListmembers_UpdatePanel1 .col-md-6:nth-of-type(1) h3",text,
invite.selectedContacts.h3,"Selected Contacts","Contacts sélectionnés","#MainCopy_ctl04_ucInviteMembers_ucListmembers_UpdatePanel1 .col-md-6:nth-of-type(2) h3",text,
invite.emptyMsg,"You have already invited all of your contacts","Vous avez déjà invité tous vos contacts","#MainCopy_ctl04_ucInviteMembers_ucListmembers_grdListAllMembers_lblEmptyMsg",text,
invite.sendInvitation.btn,"Send Invitation","Envoyer l’invitation","#MainCopy_ctl04_ucInviteMembers_ucListmembers_btnSend",attr,value
invite.cancelSelection.btn,"Cancel","Annuler","#MainCopy_ctl04_ucInviteMembers_ucListmembers_CancelLink",attr,value
search.header,"Find People to Invite","Trouver des personnes à inviter","#MainCopy_ctl04_SearchAndInvite_SearchContact_FindContactHeaderText",text,
search.firstName.label,"First Name","Prénom","#MainCopy_ctl04_SearchAndInvite_SearchContact_FirstNameSearch_Label",text,
search.lastName.label,"Last Name","Nom de famille","#MainCopy_ctl04_SearchAndInvite_SearchContact_LastNameSearch_Label",text,
search.companyName.label,"Company Name","Nom de l’entreprise","#MainCopy_ctl04_SearchAndInvite_SearchContact_CompanyNameSearch_Label",text,
search.email.label,"Email Address","Adresse courriel","#MainCopy_ctl04_SearchAndInvite_SearchContact_EmailAddressSearch_Label",text,
search.search.btn.value,"Search","Rechercher","#MainCopy_ctl04_SearchAndInvite_SearchContact_FindButton",attr,value
search.search.btn.title,"Search","Rechercher","#MainCopy_ctl04_SearchAndInvite_SearchContact_FindButton",attr,title
search.clear.btn.value,"Clear Filter And Results","Effacer le filtre et les résultats","#MainCopy_ctl04_SearchAndInvite_SearchContact_ClearSearchResultsButton",attr,value
search.clear.btn.title,"Clear Filter And Results","Effacer le filtre et les résultats","#MainCopy_ctl04_SearchAndInvite_SearchContact_ClearSearchResultsButton",attr,title
modal.clear.title,"Confirmation","Confirmation","#ConfirmClearResultsModal .modal-header",text,
modal.clear.body,"This will clear the search filter and results set. Would you like to continue?","Cette action effacera le filtre de recherche et les résultats. Voulez-vous continuer ?","#ConfirmClearResultsModal .modal-body",text,
modal.clear.yes,"Yes","Oui","#MainCopy_ctl04_SearchAndInvite_SearchContact_ClearSearchResultsConfirmModal_ClearSearchResultsYes",attr,value
modal.clear.no,"No","Non","#MainCopy_ctl04_SearchAndInvite_SearchContact_ClearSearchResultsConfirmModal_CancelAdd",attr,value
pending.none,"You have made no pending invitations","Vous n’avez aucune invitation en attente","#MainCopy_ctl04_PendingCommunityInvitations_UpdatePanel1 .col-md-12",text,
footer.finished.btn,"Finished","Terminé","#MainCopy_ctl04_btnFinish",attr,value
footer.cancel.btn,"Cancel","Annuler","#MainCopy_ctl04_lnkBtnCancel",attr,value

# === FILE: communityLibrary-translated.csv ===

library.entry.more.trigger,Additional Actions,Actions supplémentaires,[qa-id="library-entry-ellipsis"] button.icon-btn[aria-label],attr,aria-label
library.entry.more.trigger.title,Additional Actions,Actions supplémentaires,[qa-id="library-entry-ellipsis"] button.icon-btn[title],attr,title

library.entry.more.viewEntry,View Entry Page,Voir la page de l’entrée,.dropdown-menu[role="menu"] a.dropdown-item[href*="viewdocument"],attr,data-i18n-text
library.entry.more.edit,Edit,Modifier,.dropdown-menu[role="menu"] a.dropdown-item[href*="/participate/add-new-entry"],attr,data-i18n-text

